WINTER,Date,STA2
2000,2000-04-04,0
2000,2000-04-10,0
2000,2000-04-17,0
2000,2000-04-25,0
2000,2000-05-03,0
2000,2000-05-08,0
2001,2000-12-11,NA
2001,2000-12-18,NA
2001,2000-12-26,NA
2001,2001-01-02,5
2001,2001-01-08,6
2001,2001-01-17,17
2001,2001-01-22,18
2001,2001-01-29,53
2001,2001-02-07,53
2001,2001-02-12,59
2001,2001-02-20,70
2001,2001-02-27,72
2001,2001-03-07,84
2001,2001-03-12,82
2001,2001-03-19,NA
2001,2001-03-25,83
2001,2001-04-02,97
2001,2001-04-09,79
2001,2001-04-16,45
2001,2001-04-23,0
2001,2001-04-30,0
2001,2001-05-07,0
2001,2001-05-14,0
2002,2001-12-31,9
2002,2002-01-08,21
2002,2002-01-14,28
2002,2002-01-22,33
2002,2002-01-28,29
2002,2002-02-03,34
2002,2002-02-11,35
2002,2002-02-19,44
2002,2002-02-25,40
2002,2002-03-04,32
2002,2002-03-14,25
2002,2002-03-18,11
2002,2002-03-25,22
2002,2002-04-02,17
2002,2002-04-08,4
2002,2002-04-16,0
2002,2002-04-22,0
2003,2003-01-06,0
2003,2003-01-13,22
2003,2003-01-21,27
2003,2003-01-27,30
2003,2003-02-03,33
2003,2003-02-10,43
2003,2003-02-19,47
2003,2003-02-24,50
2003,2003-03-04,62
2003,2003-03-10,57
2003,2003-03-17,42
2003,2003-03-24,17
2003,2003-03-31,5
2003,2003-04-08,13
2003,2003-04-14,0
2003,2003-04-21,0
2003,2003-04-28,0
2004,2004-01-06,0
2004,2004-01-12,29
2004,2004-01-20,29
2004,2004-01-26,23
2004,2004-02-02,23
2004,2004-02-09,38
2004,2004-02-17,32
2004,2004-02-23,32
2004,2004-03-01,33
2004,2004-03-10,15
2004,2004-03-15,13
2004,2004-03-22,17
2004,2004-03-29,1
2004,2004-04-06,0
2004,2004-04-12,0
2004,2004-04-19,0
2004,2004-04-27,0
2004,2004-05-04,0
2005,2005-01-10,15
2005,2005-01-17,18
2005,2005-01-24,24
2005,2005-01-31,29
2005,2005-02-06,20
2005,2005-02-22,51
2005,2005-02-28,50
2005,2005-03-07,58
2005,2005-03-15,68
2005,2005-03-21,69
2005,2005-03-30,48
2005,2005-04-05,19
2005,2005-04-11,0
2005,2005-04-18,0
2005,2005-04-26,0
2005,2005-05-02,0
2005,2005-05-09,0
2005,2005-05-16,0
2006,2005-12-14,9
2006,2005-12-19,18
2006,2005-12-27,20
2006,2006-01-03,12
2006,2006-01-10,21
2006,2006-01-17,10
2006,2006-01-24,6
2006,2006-02-01,15
2006,2006-02-06,10
2006,2006-02-13,12
2006,2006-02-21,6
2006,2006-02-27,7
2006,2006-03-07,10
2006,2006-03-13,4
2006,2006-03-20,0
2006,2006-03-27,0
2006,2006-04-03,0
2006,2006-04-10,0
2006,2006-04-17,0
2006,2006-04-24,0
2007,2007-01-03,0
2007,2007-01-09,9
2007,2007-01-16,13
2007,2007-01-22,11
2007,2007-01-29,15
2007,2007-02-05,20
2007,2007-02-12,20
2007,2007-02-20,40
2007,2007-02-26,44
2007,2007-03-05,57
2007,2007-03-12,47
2007,2007-03-19,39
2007,2007-03-26,13
2007,2007-04-01,1
2007,2007-04-09,21
2007,2007-04-18,20
2007,2007-04-23,0
2007,2007-05-01,0
2007,2007-05-07,0
2007,2007-05-14,0
2007,2007-05-22,0
2008,2007-12-05,11
2008,2007-12-10,15
2008,2007-12-17,32
2008,2007-12-26,39
2008,2008-01-02,64
2008,2008-01-07,62
2008,2008-01-15,39
2008,2008-01-22,41
2008,2008-01-28,45
2008,2008-02-04,53
2008,2008-02-11,75
2008,2008-02-19,80
2008,2008-02-25,97
2008,2008-03-03,109
2008,2008-03-10,96
2008,2008-03-17,92
2008,2008-03-24,111
2008,2008-03-31,114
2008,2008-04-07,87
